,first_name,genders,use,descriptions
1030,Rashnu,m,Persian Mythology,Rashnu m Persian MythologyAncient Avestan form of Rashn.
1031,Rati,f,Hinduism,"Rati f Hinduism, Indian, HindiMeans ""rest, pleasure"" in Sanskrit. This is the name of the wife of the Hindu god of love Kama."
1032,Ravi,m,Hinduism,"Ravi m Hinduism, Indian, Hindi, Marathi, Bengali, Odia, Gujarati, Telugu, Tamil, Kannada, NepaliMeans ""sun"" in Sanskrit. Ravi is a Hindu god of the sun, sometimes equated with Surya. A famous bearer was the musician Ravi Shankar (1920-2012)."
1033,Ravindra,m,Hinduism,"Ravindra m Hinduism, Indian, Hindi, Marathi, Telugu, KannadaMeans ""lord of the sun"" from Sanskrit रवि (ravi) meaning ""sun"" combined with the name of the Hindu god Indra, used here to mean ""lord"". This is another name for the Hindu god Surya."
1034,Raziel,m,Judeo-Christian Legend,"Raziel m Judeo-Christian LegendMeans ""my secret is God"" in Hebrew. This is the name of an archangel in Jewish tradition."
1035,Re,m,Egyptian Mythology,Re m Egyptian MythologyVariant spelling of Ra.
1036,Remus,m,Roman Mythology,"Remus m Roman Mythology, RomanianMeaning unknown. In Roman legend Romulus and Remus were the founders of Rome. Remus was later slain by Romulus."
1037,Reva,f,Hinduism,"Reva f Hinduism, Indian, HindiMeans ""one that moves"" in Sanskrit. This is another name of the Hindu goddess Rati."
1038,Rhea,f,Greek Mythology,"Rhea f Greek Mythology, Roman MythologyMeaning unknown, perhaps related to ῥέω (rheo) meaning ""to flow"" or ἔρα (era) meaning ""ground"". In Greek mythology Rhea was a Titan, the wife of Cronus, and the mother of Zeus, Poseidon, Hades, Hera, Demeter and Hestia. Also, in Roman mythology a woman named Rhea Silvia was the mother of Romulus and Remus, the legendary founders of Rome."
1039,Rheie,f,Greek Mythology,Rheie f Greek MythologyGreek variant of Rhea.
1040,Rhiannon,f,Welsh,"Rhiannon f Welsh, English, Welsh MythologyProbably derived from the old Celtic name Rigantona meaning ""great queen"". It is speculated that this was the name of an otherwise unattested Celtic goddess of fertility and the moon. The name Rhiannon appears later in Welsh legend in the Mabinogion, borne by the wife of Pwyll and the mother of Pryderi.... [more]"
1041,Rigantona,f,Celtic Mythology (Hypothetical),Rigantona f Celtic Mythology (Hypothetical)Reconstructed old Celtic form of Rhiannon.
1042,Ríghnach,f,Irish Mythology,Ríghnach f Irish MythologyVariant of Ríoghnach.
1043,Ríoghnach,f,Irish Mythology,"Ríoghnach f Irish MythologyDerived from Irish ríoghan meaning ""queen"". In Irish legend this was a wife of the Irish king Niall."
1044,Romulus,m,Roman Mythology,"Romulus m Roman Mythology, RomanianMeans ""of Rome"" in Latin. In Roman legend Romulus and Remus were the founders of the city of Rome."
1045,Rostam,m,Persian,"Rostam m Persian, Persian MythologyMeaning unknown, possibly from Avestan raodha ""to grow"" and takhma ""strong, brave, valiant"". Rostam was a warrior hero in Persian legend. The 10th-century Persian poet Ferdowsi recorded his tale in the Shahnameh."
1046,Rukmini,f,Hinduism,"Rukmini f HinduismMeans ""adorned with gold"" in Sanskrit. In Hindu belief this is the name of a princess who became the wife of Krishna."
1047,Saam,m,Persian,"Saam m Persian, Persian MythologyAlternate transcription of Persian سام (see Sam 2)."
1048,Sabia,f,Irish Mythology,Sabia f Irish MythologyLatinized form of Sadb.
1049,Sadb,f,Irish,"Sadb f Irish, Irish MythologyMeans ""sweet, goodly"" in Irish. In Irish mythology Sadb was the mother of Oisín."
1050,Sadbh,f,Irish,"Sadbh f Irish, Irish MythologyVariant of Sadb."
1051,Sadhbh,f,Irish,"Sadhbh f Irish, Irish MythologyModern Irish form of Sadb."
1052,Sága,f,Norse Mythology,Sága f Norse MythologyOld Norse form of Saga.
1053,Saga,f,Norse Mythology,"Saga f Norse Mythology, Swedish, IcelandicFrom Old Norse Sága, possibly meaning ""seeing one"", derived from sjá ""to see"". This is the name of a Norse goddess, possibly connected to Frigg. As a Swedish and Icelandic name, it is also derived from the unrelated word saga meaning ""story, fairy tale, saga""."
1054,Salacia,f,Roman Mythology,"Salacia f Roman MythologyDerived from Latin sal meaning ""salt"". This was the name of the Roman goddess of salt water."
1055,Sam 2,m,Persian,"Sam 2 m Persian, Persian MythologyMeans ""dark"" in Avestan. This is the name of a hero in the 10th-century Persian epic the Shahnameh."
1056,Samael,m,Judeo-Christian Legend,"Samael m Judeo-Christian LegendMeans ""severity of God"" in Hebrew. This is the name of an archangel in Jewish tradition, described as a destructive angel of death."
1057,Sampo,m,Finnish,"Sampo m Finnish, Finnish MythologyMeaning unknown. In Finnish mythology this is the name of a magical artifact (perhaps a mill) created by the smith god Ilmarinen."
1058,Sandhya,f,Hinduism,"Sandhya f Hinduism, Indian, Hindi, Marathi, Telugu, Tamil, Kannada, MalayalamMeans ""twilight"" in Sanskrit. This is the name of the daughter of the Hindu god Brahma."
1059,Sanjaya,m,Hinduism,"Sanjaya m HinduismMeans ""completely victorious, triumphant"" in Sanskrit. This is the name of a royal official in the Hindu epic the Mahabharata."
1060,Saraswati,f,Hinduism,"Saraswati f Hinduism, Indian, Hindi, MarathiMeans ""possessing water"" from Sanskrit सरस् (saras) meaning ""fluid, water, lake"" and वती (vati) meaning ""having"". This is the name of a Hindu river goddess, also associated with learning and the arts, who is the wife of Brahma."
1061,Sarosh,m,Persian Mythology,Sarosh m Persian MythologyMiddle Persian form of Soroush.
1062,Sarpedon,m,Greek Mythology,"Sarpedon m Greek MythologyMeaning unknown. In Greek legend Sarpedon was the son of Zeus and Laodamia, and the king of the Lycians. He was one of the chief warriors who fought against the Greeks in defense of Troy, but he was killed by Patroclus. Another Sarpedon was the son of Zeus and Europa."
1063,Sati,f,Hinduism,"Sati f HinduismMeans ""truthful"" in Sanskrit. In Hindu belief this was the name of a goddess, a wife of Shiva. After her death she was reborn as the goddess Parvati."
1064,Satisha,m,Hinduism,"Satisha m HinduismMeans ""lord of Sati"" from the name of the Hindu goddess Sati combined with ईश (isha) meaning ""ruler"". This is another name for the Hindu god Shiva."
1065,Saturn,m,Roman Mythology (Anglicized),"Saturn m Roman Mythology (Anglicized)From the Latin Saturnus, which is of unknown meaning. In Roman mythology he was the father of Jupiter, Juno and others, and was also the god of agriculture. This is also the name of the ringed sixth planet in the solar system."
1066,Saturnus,m,Roman Mythology,Saturnus m Roman MythologyLatin form of Saturn.
1067,Saule 1,f,Latvian,"Saule 1 f Latvian, Baltic MythologyLatvian form of Saulė."
1068,Saulė,f,Lithuanian,"Saulė f Lithuanian, Baltic MythologyMeans ""sun"" in Lithuanian. This was the name of the Lithuanian sun goddess."
1069,Sauliā,f,Baltic Mythology (Hypothetical),Sauliā f Baltic Mythology (Hypothetical)Possible earlier form of Saulė.
1070,Savitr,m,Hinduism,"Savitr m HinduismMeans ""rouser, stimulator"" in Sanskrit. This is the name of a Hindu sun god, sometimes identified with Surya."
1071,Savitri,f,Hinduism,"Savitri f Hinduism, Indian, Hindi, MarathiMeans ""relating to the sun"" in Sanskrit. This is the name of a hymn dedicated to Savitr, a Hindu sun god, and it is also the name of his daughter. It is borne by several other characters in Hindu epics, including a wife of Brahma, a wife of Shiva, and a daughter of Daksha. In the Hindu epic the Mahabharata it is borne by King Satyavan's wife, who successfully pleas with Yama, the god of death, to restore her husband to life."
1072,Sedna,f,Mythology,"Sedna f MythologyMeaning unknown. This is the name of the Inuit goddess of the sea, sea animals and the underworld. According to some legends Sedna was originally a beautiful woman thrown into the ocean by her father."
1073,Selena,f,Spanish,"Selena f Spanish, Russian, Greek Mythology (Latinized)Latinized form of Selene. This name was borne by popular Mexican-American singer Selena Quintanilla (1971-1995), who was known simply as Selena."
1074,Selene,f,Greek Mythology,"Selene f Greek MythologyMeans ""moon"" in Greek. This was the name of a Greek goddess of the moon, a Titan. She was sometimes identified with the goddess Artemis."
1075,Semele,f,Greek Mythology,"Semele f Greek MythologyMeaning unknown, possibly of Phrygian origin. In Greek mythology she was one of the many lovers of Zeus. Hera, being jealous, tricked Semele into asking Zeus to display himself in all his splendour as the god of thunder. When he did, Semele was struck by lightning and died, but not before giving birth to Dionysos."
1076,Seppo 1,m,Finnish,"Seppo 1 m Finnish, Finnish MythologyDerived from Finnish seppä meaning ""smith"". Seppo Ilmarinen (""the smith Ilmarinen"") is the name of a master craftsman in the Finnish epic the Kalevala."
1077,Serapis,m,Egyptian Mythology (Hellenized),"Serapis m Egyptian Mythology (Hellenized)From a compound of Asar, the Egyptian form of Osiris, and Apis, the sacred bull of the Egyptians. This was the name of a syncretic Greco-Egyptian god, apparently promoted by Ptolemy I Soter in the 3rd-century BC in an attempt to unite the native Egyptians and the Greeks in the Ptolemaic Kingdom."
1078,Set,m,Egyptian Mythology (Hellenized),Set m Egyptian Mythology (Hellenized)Variant of Seth 2.
1079,Seth 2,m,Egyptian Mythology (Hellenized),"Seth 2 m Egyptian Mythology (Hellenized)From Σήθ (Seth), the Greek form of Egyptian swtẖ or stẖ (reconstructed as Sutekh), which is of unknown meaning. Seth was the Egyptian god of chaos and the desert, the slayer of Osiris. Osiris's son Horus eventually defeats Seth and has him banished to the desert."
1080,Shahrivar,m,Persian Mythology,"Shahrivar m Persian MythologyModern Persian form of Avestan Kshathra Vairya meaning ""desirable power"". In Zoroastrianism this was the name of a god of metal and a protector of the weak. This is also the name of the sixth month of the Iranian calendar."
1081,Shailaja,f,Hinduism,"Shailaja f Hinduism, Indian, TeluguMeans ""daughter of the mountain"" in Sanskrit, from शैल (shaila) meaning ""mountain"" and ज (ja) meaning ""born"". This is another name of the Hindu goddess Parvati."
1082,Shakti,f,Hinduism,"Shakti f & m Hinduism, Indian, HindiMeans ""power"" in Sanskrit. In Hinduism a shakti is the female counterpart of a god. The name Shakti is used in particular to refer to the female counterpart of Shiva, also known as Parvati among many other names."
1083,Shakuntala,f,Hinduism,"Shakuntala f Hinduism, Indian, Hindi, MarathiDerived from Sanskrit शकुन्त (shakunta) meaning ""bird"". This is the name of a character in Hindu legend, her story adapted by Kalidasa for the 5th-century play Abhijnanashakuntalam. It tells how Shakuntala, who was raised in the forest by birds, meets and marries the king Dushyanta. After a curse is laid upon them Dushyanta loses his memory and they are separated, but eventually the curse is broken after the king sees the signet ring he gave her."
1084,Shalim,m,Semitic Mythology,"Shalim m Semitic MythologyFrom the Semitic root shalam meaning ""peace"". This was the name of an Ugaritic god associated with the evening."
1085,Shamash,m,Semitic Mythology,"Shamash m Semitic MythologyMeans ""sun"" in Akkadian. This was the Akkadian, Assyrian and Babylonian name of Utu."
1086,Shams,f,Semitic Mythology,"Shams f Semitic MythologyMeans ""sun"" in Arabic. This was a pre-Islamic Arabian goddess of the sun, identified with the Akkadian sun god Shamash (whose name is related) and the northern Arabian goddess Nuha."
1087,Shani 2,m,Hinduism,Shani 2 m HinduismFrom the Sanskrit name of the planet Saturn. This is the name of a celestial Hindu god.
1088,Shankara,m,Hinduism,"Shankara m HinduismDerived from the Sanskrit elements शम् (sham) meaning ""auspicious, lucky"" and कर (kara) meaning ""maker"". This is another name of the Hindu god Shiva. This was also the name of a 9th-century Indian religious philosopher also known as Shankaracharya."
1089,Shanta,f,Hinduism,"Shanta f Hinduism, Indian, Hindi, Marathi, NepaliMeans ""pacified, calm"" in Sanskrit. In the Hindu epic the Ramayana this is the name of a daughter of King Dasharatha."
1090,Shantanu,m,Hinduism,"Shantanu m Hinduism, Indian, Hindi, Marathi, BengaliMeans ""wholesome"" in Sanskrit. In the Hindu epic the Mahabharata this is the name of a king of Hastinapura."
1091,Shiva 1,m,Hinduism,"Shiva 1 m Hinduism, Indian, Telugu, Tamil, Kannada, Malayalam, NepaliDerived from Sanskrit शिव (shiva) meaning ""benign, kind, auspicious"". Shiva is the Hindu god of destruction and restoration, the husband of the mother goddess Parvati. His aspect is usually terrifying, but it can also be gentle."
1092,Shivali,f,Hinduism,"Shivali f Hinduism, Indian, HindiMeans ""beloved of Shiva 1"" in Sanskrit. This is another name of the Hindu goddess Parvati."
1093,Shivani,f,Hinduism,"Shivani f Hinduism, Indian, HindiDerived from the god's name Shiva 1. This is an epithet Hindu goddess Parvati, the wife of Shiva."
1094,Shri,f,Hinduism,"Shri f HinduismMeans ""diffusing light, radiance, beauty"" in Sanskrit. This is another name of the Hindu goddess Lakshmi. This word is also commonly used as a title of respect in India."
1095,Shridevi,f,Hinduism,"Shridevi f HinduismFrom the name of the Hindu goddess Shri combined with Sanskrit देवी (devi) meaning ""goddess"". This is another name of Lakshmi."
1096,Shripati,m,Hinduism,"Shripati m HinduismMeans ""husband of Shri"" from the name of the Hindu goddess Shri combined with Sanskrit पति (pati) meaning ""husband, lord"". This is another name of the Hindu god Vishnu."
1097,Shulmanu,m,Semitic Mythology,Shulmanu m Semitic MythologyPossibly cognate with the Western Semitic god Shalim. Shulmanu was an Eastern Semitic (Mesopotamian) god associated with battle.
1098,Shyama,m,Hinduism,"Shyama m & f Hinduism, Indian, HindiDerived from Sanskrit श्याम (shyama) meaning ""dark, black, blue"". This is a transcription of the masculine form श्याम, which is another name of the Hindu god Krishna, as well as the feminine form श्यामा, one of the many names of the wife of the god Shiva. It is also the name of a Jain goddess."
1099,Siavash,m,Persian,"Siavash m Persian, Persian MythologyMeans ""possessing black stallions"" in Avestan. This is the name of a prince in the 10th-century Persian epic the Shahnameh."
1100,Siegfried,m,German,"Siegfried m German, Germanic MythologyDerived from the Germanic elements sigu ""victory"" and frid ""peace"". Siegfried was a hero from Germanic legend, chief character in the Nibelungenlied. He secretly helped the Burgundian king Günther overcome the challenges set out by the Icelandic queen Brünhild so that Günther might win her hand. In exchange, Günther consented to the marriage of Siegfried and his sister Kriemhild. Years later, after a dispute between Brünhild and Kriemhild, Siegfried was murdered by Hagen with Günther's consent. He was stabbed in his one vulnerable spot on the small of his back, which had been covered by a leaf while he bathed in dragon's blood. He is a parallel to the Norse hero Sigurd. The story was later adapted by Richard Wagner to form part of his opera The Ring of the Nibelung (1876)."
1101,Sieglinde,f,German,"Sieglinde f German, Germanic MythologyDerived from the Germanic elements sigu ""victory"" and lind ""soft, tender, flexible"". Sieglinde was the mother of Siegfried in the Germanic saga the Nibelungenlied."
1102,Sif,f,Norse Mythology,"Sif f Norse Mythology, Danish, IcelandicOld Norse, Danish and Icelandic form of Siv."
1103,Sigmund,m,German,"Sigmund m German, Norwegian, English, Norse MythologyDerived from the Germanic elements sigu ""victory"" and mund ""protector"" (or in the case of the Scandinavian cognate, from the Old Norse elements sigr ""victory"" and mundr ""protector""). In the Norse Völsungasaga this is the name of the hero Sigurd's father, the bearer of the powerful sword Gram. A notable bearer was the Austrian psychologist Sigmund Freud (1856-1939), the creator of the revolutionary theory of psychoanalysis."
1104,Sigmundr,m,Ancient Scandinavian,"Sigmundr m Ancient Scandinavian, Norse MythologyOld Norse form of Sigmund."
1105,Signý,f,Ancient Scandinavian,"Signý f Ancient Scandinavian, Norse Mythology, IcelandicOld Norse name that was derived from the elements sigr ""victory"" and nýr ""new"". In Norse legend she was the twin sister of Sigmund and the wife of Siggeir."
1106,Sigrún,f,Ancient Scandinavian,"Sigrún f Ancient Scandinavian, Norse Mythology, IcelandicDerived from the Old Norse elements sigr ""victory"" and rún ""secret"". This was the name of a valkyrie in Norse legend."
1107,Sigurd,m,Norwegian,"Sigurd m Norwegian, Danish, Swedish, Norse MythologyFrom the Old Norse name Sigurðr, which was derived from the elements sigr ""victory"" and varðr ""guardian"". Sigurd was the hero of the Norse legend the Völsungasaga, which tells how his foster-father Regin sent him to recover a hoard of gold guarded by the dragon Fafnir. After slaying the dragon Sigurd tasted some of its blood, enabling him to understand the language of birds, who told him that Regin was planning to betray him. In a later adventure, Sigurd disguised himself as Gunnar (his wife Gudrun's brother) and rescued the maiden Brynhildr from a ring of fire, with the result that Gunnar and Brynhildr were married. When the truth eventually came out, Brynhildr took revenge upon Sigurd. The stories of the German hero Siegfried were in part based on him."
1108,Sigurðr,m,Ancient Scandinavian,"Sigurðr m Ancient Scandinavian, Norse MythologyOld Norse form of Sigurd."
1109,Silvanus,m,Roman Mythology,"Silvanus m Roman Mythology, Ancient Roman, Biblical, Biblical LatinRoman name derived from Latin silva meaning ""wood, forest"". Silvanus was the Roman god of forests. This name appears in the New Testament belonging to one of Saint Paul's companions, also called Silas."
1110,Silvia,f,Italian,"Silvia f Italian, Spanish, Portuguese, Romanian, Slovak, German, Dutch, English, Late Roman, Roman MythologyFeminine form of Silvius. Rhea Silvia was the mother of Romulus and Remus, the founders of Rome. This was also the name of a 6th-century saint, the mother of the pope Gregory the Great. It has been a common name in Italy since the Middle Ages. It was introduced to England by Shakespeare, who used it for a character in his play The Two Gentlemen of Verona (1594). It is now more commonly spelled Sylvia in the English-speaking world."
1111,Silvius,m,Late Roman,"Silvius m Late Roman, Roman MythologyDerived from Latin silva meaning ""wood, forest"". This was the family name of several of the legendary kings of Alba Longa. It was also the name of an early saint martyred in Alexandria."
1112,Simon 2,m,Ancient Greek,"Simon 2 m Ancient Greek, Greek MythologyDerived from Greek σιμός (simos) meaning ""flat-nosed"". In Greek mythology this was the name of one of the Telchines, demigods who were the original inhabitants of Rhodes."
1113,Sin,m,Semitic Mythology,"Sin m Semitic MythologyFrom earlier Akkadian Su'en, of unknown meaning. This was the name of the Akkadian, Assyrian and Babylonian god of the moon. He was closely identified with the Sumerian god Nanna."
1114,Sindri,m,Norse Mythology,"Sindri m Norse Mythology, Ancient Scandinavian, IcelandicMeans ""sparkle"" in Old Norse. In Norse mythology this was the name of a dwarf, also named Eitri. With his brother Brokkr he made several magical items for the gods, including Odin's ring Draupnir and Thor's hammer Mjölnir."
1115,Sionann,f,Irish Mythology,"Sionann f Irish MythologyThe name of an Irish goddess, a granddaughter of Lir, who was the personification of the River Shannon. Her name is derived from the name of the river (see Shannon)."
1116,Sita,f,Hinduism,"Sita f Hinduism, Indian, Hindi, NepaliMeans ""furrow"" in Sanskrit. Sita is the name of the Hindu goddess of the harvest in the Rigveda. This is also the name of the wife of Rama (and an avatar of Lakshmi) in the Hindu epic the Ramayana. In this story Sita is rescued by her husband from the demon king Ravana."
1117,Siv,f,Swedish,"Siv f Swedish, Norwegian, Norse MythologyFrom Old Norse Sif, which meant ""bride, kinswoman"". In Norse mythology she was the wife of Thor. After the trickster Loki cut off her golden hair, an angry Thor forced him to create a replacement."
1118,Šiwa,f,Slavic Mythology,Šiwa f Slavic MythologyVariant of Živa.
1119,Skadi,f,Norse Mythology,Skadi f Norse MythologyVariant of Skaði.
1120,Skanda,m,Hinduism,"Skanda m HinduismMeans ""hopping, spurting, spilling"" in Sanskrit. In Hindu belief this is the name of the god of war, also known as Kartikeya or Murugan. He is worshipped especially by the Tamils in southern India."
1121,Skaði,f,Norse Mythology,"Skaði f Norse MythologyMeans ""damage, harm"" in Old Norse. In Norse mythology she was a mountain giantess associated with the winter and skiing. After the gods killed her father, they offered her a husband from among them as compensation. She ended up marrying Njord."
1122,Skuld,f,Norse Mythology,"Skuld f Norse MythologyMeans ""debt, obligation"" in Old Norse. She was one of the three Norns, or goddesses of destiny, in Norse mythology. She was also one of the valkyries."
1123,Sláine,f,Irish,"Sláine f & m Irish, Irish MythologyMeans ""health"" in Irish. This was the name of a legendary high king of Ireland."
1124,Sohrab,m,Persian,"Sohrab m Persian, Persian MythologyProbably from Middle Persian swhr ""red"" and ab ""water"". In the 10th-century Persian epic the Shahnameh this is the name of the son of the hero Rostam. He was tragically slain in battle by his father, who was unaware he was fighting his own son."
1125,Soroush,m,Persian Mythology,"Soroush m Persian Mythology, PersianModern Persian form of Avestan Sraosha meaning ""obedience"". In Zoroastrianism this was the name of a Yazata (or angel), later equated with the angel Gabriel."
1126,Sosruko,m,Caucasian Mythology,"Sosruko m Caucasian MythologyDerived from Turkic suslä meaning ""menacing"". This is the name of a trickster god in Caucasian mythology. He is the hero of the Nart sagas."
1127,Sraosha,m,Persian Mythology,Sraosha m Persian MythologyAncient Avestan form of Soroush.
1128,Stribog,m,Slavic Mythology,"Stribog m Slavic MythologyPossibly means ""flowing god"" in Slavic. Stribog was the Slavic god of the wind, cold, ice and frost."
1129,Subrahmanya,m,Hinduism,"Subrahmanya m Hinduism, Indian, TeluguFrom the Sanskrit prefix सु (su) meaning ""good"" and ब्रह्मन् (brahman) meaning ""transcendent reality, eternal truth"". This is another name for the Hindu god Skanda."
1130,Su'en,m,Semitic Mythology,Su'en m Semitic MythologyVariant of Sin.
1131,Suijin,m,Japanese Mythology,"Suijin m Japanese MythologyFrom Japanese 水 (sui) meaning ""water"" and 神 (jin) meaning ""god, spirit"". This is the name of the god (or gods) of water, lakes and pools in Japanese mythology."
1132,Sumati,f,Hinduism,"Sumati f Hinduism, Indian, HindiMeans ""wise, good mind"", derived from Sanskrit सु (su) meaning ""good"" and मति (mati) meaning ""mind, thought"". In the Hindu epic the Mahabharata this is the name of King Sagara's second wife, who bore him 60,000 children."
1133,Summanus,m,Roman Mythology,"Summanus m Roman MythologyMeans ""before the morning"", derived from Latin sub ""under, before"" and mane ""morning"". Summanus was the Roman god of the night sky and night lightning, a nocturnal counterpart to Jupiter."
1134,Sundara,m,Hinduism,"Sundara m HinduismDerived from Sanskrit सुन्दर (sundara) meaning ""beautiful"". This is the name of several minor characters in Hindu texts, and is also another name of the Hindu god Krishna."
1135,Sunita,f,Hinduism,"Sunita f Hinduism, Indian, Hindi, Marathi, NepaliMeans ""well conducted, wise"", derived from the Sanskrit prefix सु (su) meaning ""good"" combined with नीत (nita) meaning ""conducted, led"". In Hindu legend this is the name of the daughter of King Anga of Bengal."
1136,Surendra,m,Hinduism,"Surendra m Hinduism, Indian, Hindi, Marathi, Telugu, NepaliMeans ""lord of gods"" from Sanskrit सुर (sura) meaning ""god"" combined with the name of the Hindu god Indra, used here to mean ""lord"". This is another name for Indra."
1137,Suresha,m,Hinduism,"Suresha m HinduismMeans ""ruler of the gods"" from Sanskrit सुर (sura) meaning ""god"" and ईश (isha) meaning ""ruler, lord"". This is another name of the Hindu gods Indra, Shiva or Vishnu."
1138,Surya,m,Hinduism,"Surya m Hinduism, Indian, Telugu, Kannada, Tamil, Malayalam, Hindi, Marathi, Nepali, IndonesianMeans ""sun"" in Sanskrit. This is the name of the Hindu god of the sun."
1139,Susanoo,m,Japanese Mythology,"Susanoo m Japanese MythologyOf Japanese origin, possibly meaning ""wild male, impetuous male"". In Japanese mythology he was the god of storms and the sea, as well as the brother and adversary of the goddess Amaterasu. He was born when Izanagi washed his nose after returning from the underworld. After he was banished from the heavens, he descended to earth and slew an eight-headed dragon."
1140,Sushila,f,Hinduism,"Sushila f & m Hinduism, Indian, Hindi, Marathi, NepaliMeans ""good-tempered, well-disposed"", derived from the Sanskrit prefix सु (su) meaning ""good"" combined with शील (shila) meaning ""conduct, disposition"". This is a transcription of both the feminine form सुशीला and the masculine form सुशील. This name is borne by wives of the Hindu gods Krishna and Yama."
1141,Sutekh,m,Egyptian Mythology (Hypothetical),Sutekh m Egyptian Mythology (Hypothetical)Reconstructed Egyptian form of Seth 2.
1142,Svanhild,f,Norwegian,"Svanhild f Norwegian, Norse MythologyScandinavian cognate of Swanhild. In the Norse legend the Völsungasaga she is the daughter of Sigurd and Gudrun."
1143,Svanhildr,f,Ancient Scandinavian,"Svanhildr f Ancient Scandinavian, Norse MythologyOld Norse form of Swanhild."
1144,Svantovit,m,Slavic Mythology,Svantovit m Slavic MythologyVariant of Svetovid.
1145,Svarog,m,Slavic Mythology,"Svarog m Slavic MythologyDerived from Slavic svar meaning ""bright, clear"". This was the name of the Slavic god of the sky and sun. He was originally the supreme god in Slavic mythology."
1146,Svetovid,m,Slavic Mythology,"Svetovid m Slavic MythologyDerived from the Slavic elements svetu ""blessed, holy"" and vidu ""sight, view"". This was the name of a four-headed Slavic god of war and light."
1147,Tahmina,f,Persian Mythology,"Tahmina f Persian Mythology, Tajik, BengaliDerived from Avestan takhma meaning ""strong, brave, valiant"". This is the name of a character in the 10th-century Persian epic the Shahnameh. She is a daughter of the king of Samangan who marries the warrior hero Rostam and eventually bears him a son, whom they name Sohrab."
1148,Tahmuras,m,Persian Mythology,"Tahmuras m Persian MythologyPersian form of Avestan Takhma Urupi meaning ""strong body"". Takhma Urupi is a hero from the Avesta who later appears in the 10th-century Persian epic the Shahnameh."
1149,Takhma Urupi,m,Persian Mythology,Takhma Urupi m Persian MythologyAvestan form of Tahmuras.
1150,Tammuz,m,Biblical,"Tammuz m Biblical, Biblical Hebrew, Semitic MythologySemitic form of Dumuzi. The name of the god appears in the Book of Ezekiel in the Old Testament."
1151,Tāne,m,Maori,"Tāne m Maori, Polynesian MythologyMeans ""man"" in Maori. In Maori and other Polynesian mythology Tāne was the god of forests and light. He was the son of the sky god Rangi and the earth goddess Papa, who were locked in an embrace and finally separated by their son. He created the tui bird and, by some accounts, man."
1152,Tangaroa,m,Polynesian Mythology,"Tangaroa m Polynesian MythologyMeaning unknown. In Polynesian mythology he was the god of the sea, the son of Rangi and Papa. He separated his parents' embrace, creating the earth and the sky."
1153,Tanis,f,Semitic Mythology (Hellenized),Tanis f Semitic Mythology (Hellenized)Greek form of Tanith.
1154,Tanit,f,Semitic Mythology,Tanit f Semitic MythologyVariant of Tanith.
1155,Tanith,f,Semitic Mythology,"Tanith f Semitic MythologyDerived from Semitic roots meaning ""serpent lady"". This was the name of the Phoenician goddess of love, fertility, the moon and the stars. She was particularly associated with the city of Carthage, being the consort of Ba'al Hammon."
1156,Tapio,m,Finnish,"Tapio m Finnish, Finnish MythologyMeaning unknown. Tapio was the Finnish god of forests, animals, and hunting."
1157,Tara 2,f,Hinduism,"Tara 2 f Hinduism, Indian, Hindi, NepaliMeans ""star"" in Sanskrit. Tara is the name of a Hindu astral goddess, the wife of Brhaspati. She was abducted by Soma, a god of the moon, leading to a great war that was only ended when Brahma intervened and released her. This is also the name of a Buddhist deity (a female Buddha)."
1158,Taranis,m,Gaulish Mythology,"Taranis m Gaulish MythologyDerived from Celtic taran meaning ""thunder"", cognate with Þórr (see Thor). This was the name of the Gaulish thunder god, who was often identified with the Roman god Jupiter."
1159,Tarhunna,m,Near Eastern Mythology,"Tarhunna m Near Eastern MythologyFrom Hittite or Luwian tarh meaning ""to cross, to conquer"". This was the name of the Hittite god of the weather, storms, and the sky, and the slayer of the dragon Illuyanka. He was closely identified with the Hurrian god Teshub, and sometimes with the Semitic god Hadad."
1160,Tarhunz,m,Near Eastern Mythology,Tarhunz m Near Eastern MythologyLuwian form of Tarhunna.
1161,Tatius,m,Roman Mythology,"Tatius m Roman Mythology, Ancient RomanRoman family name of unknown meaning, possibly of Sabine origin. According to Roman legend, Titus Tatius was an 8th-century BC king of the Sabines who came to jointly rule over the Romans and Sabines with the Roman king Romulus."
1162,Tellervo,f,Finnish Mythology,Tellervo f Finnish MythologyMeaning unknown. Tellervo was a Finnish forest goddess. She is variously described as either the wife or daughter of Tapio.
1163,Terminus,m,Roman Mythology,"Terminus m Roman MythologyMeans ""limit, boundary, end"" in Latin. This was the name of the Roman god of boundaries."
1164,Terpsichore,f,Greek Mythology,"Terpsichore f Greek MythologyMeans ""enjoying the dance"" from Greek τέρψις (terpsis) meaning ""delight"" and χορός (choros) meaning ""dance"". In Greek mythology she was the goddess of dance and dramatic chorus, one of the nine Muses."
1165,Teshub,m,Near Eastern Mythology,"Teshub m Near Eastern MythologyMeaning unknown, of Hurrian origin. This was the name of the Hurrian storm god. He was later conflated with the Hittite god Tarhunna."
1166,Tethys,f,Greek Mythology,"Tethys f Greek MythologyDerived from Greek τήθη (tethe) meaning ""grandmother"". In Greek mythology this was the name of a Titan associated with the sea. She was the wife of Oceanus."
